filename,angle,v0,v1,v2
test0.jpg,1.04949668,2.030098,2.94950335,4.00969934
test10.jpg,1.38012066,1.91427296,2.32525448,4.36165308
test20.jpg,0.70328603,0.97511976,2.80099676,4.55070845
test30.jpg,-0.40414647,-0.83709694,2.71565385,4.66488569
test40.jpg,-0.79591775,-1.55893689,2.68783246,4.43979588
test50.jpg,-0.62206599,-1.82259959,3.35082314,3.88112727
test60.jpg,-0.48954428,-2.20204701,4.0636584,2.89793302
test70.jpg,-0.31171986,-2.36642609,4.46551931,2.08853911
test80.jpg,-0.74635858,-2.63754575,4.6233032,1.05421476
test90.jpg,-2.28468972,-2.83986262,4.08833637,0.0296465
test100.jpg,-3.50164693,-2.5939195,3.25084067,-0.66489499
test110.jpg,-4.19409607,-2.15085973,2.66022397,-0.8405766
test120.jpg,-4.60822021,-1.9470317,1.91186862,-1.1480995
test130.jpg,-4.71567277,-2.03750362,0.76451133,-1.73969301
test140.jpg,-4.33079097,-2.5729452,-0.23662816,-2.13733705
test150.jpg,-3.65864305,-3.07067734,-1.22515802,-2.38416851
test160.jpg,-3.30348906,-3.78234321,-1.15509409,-1.85650142
test170.jpg,-2.7746093,-4.35297867,-1.18714543,-1.39420429
test180.jpg,-2.23910335,-4.66103019,-1.33055126,-1.2210025
test190.jpg,-1.84681492,-4.68580569,-1.55256658,-1.49064977
test200.jpg,-1.32242817,-4.52064574,-1.8983965,-2.05208103
test210.jpg,-0.83613857,-4.38626814,-2.1336284,-2.34715869
test220.jpg,-0.0523337,-4.1004029,-2.46204014,-2.66876667
test230.jpg,0.37049789,-3.97850097,-2.67226655,-2.6255005
test240.jpg,1.03009859,-3.87757927,-3.07119188,-2.11448726
test250.jpg,1.74024822,-3.5865901,-3.33245539,-1.73281525
test260.jpg,2.70399761,-2.91777541,-3.69293144,-0.73296724
test270.jpg,3.63177568,-2.35307785,-3.33330079,-0.40290929
test280.jpg,4.36831621,-2.01428492,-2.53411233,-0.66237787
test290.jpg,4.77081747,-1.61456408,-2.03050665,-0.71381102
test300.jpg,4.86387781,-1.79889269,-1.47161641,-0.97006334
test310.jpg,4.70246278,-2.31853525,-0.55994664,-1.48246343
test320.jpg,4.51123468,-2.39324109,0.43764581,-1.93122368
test330.jpg,4.29009499,-2.28157777,1.1151805,-2.26844887
test340.jpg,4.1202956,-1.45181602,1.83362903,-2.74830839
test350.jpg,3.79424893,-0.68920688,2.41140944,-3.05184755
test360.jpg,3.64435518,-0.39558881,2.57547463,-3.15104986
test370.jpg,3.60501688,0.58566484,1.67775444,-3.72102002
test380.jpg,3.35503241,1.44926846,0.83833897,-3.99256387
test390.jpg,2.7316647,2.60259668,-0.26335929,-3.96170927
test400.jpg,2.53327434,3.22333796,-0.32320212,-3.61775537
test410.jpg,2.10509005,4.51363835,0.06687849,-2.27841875
test420.jpg,1.35326185,4.93010075,-0.09482783,-1.96310892
test430.jpg,0.39959552,5.1255925,-0.44491067,-1.83594103
test440.jpg,-0.8725579,4.94849272,-0.85255771,-2.00604284
test450.jpg,-1.34928565,4.76699971,-0.98814158,-2.11629823
test460.jpg,-2.21697481,4.47664914,-1.41909358,-1.74092176
test470.jpg,-3.13674385,3.89309702,-1.80901089,-1.31609771
test480.jpg,-3.88535486,3.16891144,-1.96437514,-1.0016228
test490.jpg,-4.59346926,1.87700781,-2.30106276,-0.28634244
